Month,PVC,PP,GPPS,PET,PE
01/01/2015,668,993,1098,868,1069
01/02/2015,723,1095,1220.5,923,1153.166667
01/03/2015,778,1198,1343,978,1237.333333
01/04/2015,838,1383,1623,1068,1451.333333
01/05/2015,896,1528,1573,1148,1597
01/06/2015,948,1448,1518,1063,1593.666667
01/07/2015,938,1323,1398,1028,1512.333333
01/08/2015,908,1298,1403,958,1473.666667
01/09/2015,868,1048,1258,898,1322.333333
01/10/2015,803,1073,1238,918,1307.333333
01/11/2015,798,1178,1238,928,1389
01/12/2015,798,1138,1283,913,1412.333333
01/01/2016,798,1078,1278,848,1330.333333
01/02/2016,758,948,1238,843,1224.666667
01/03/2016,758,998,1298,888,1240.333333
01/04/2016,798,1098,1388,978,1330.333333
01/05/2016,818,1098,1325,948,1322.333333
01/06/2016,826,1008,1300,918,1279
01/07/2016,826,948,1258,893,1201.333333
01/08/2016,808,978,1238,863,1198
01/09/2016,796,1018,1243,868,1221.333333
01/10/2016,813,1028,1178,878,1210.333333
01/11/2016,828,978,1168,903,1172.333333
01/12/2016,828,998,1298,913,1178.666667
01/01/2017,848,1118,1428,998,1256.333333
01/02/2017,873,1173,1648,1098,1269.666667
01/03/2017,933,1248,1648,1158,1302
01/04/2017,948,1273,1428,1018,1270.666667
01/05/2017,928,1178,1273,998,1224.666667
01/06/2017,918,1118,1308,1008,1134
01/07/2017,908,1088,1318,1023,1120.333333
01/08/2017,908,1148,1293,1123,1140.333333
01/09/2017,928,1198,1358,1148,1200.333333
01/10/2017,943,1218,1308,1038,1200.333333
01/11/2017,918,1138,1293,1038,1150.666667
01/12/2017,918,1153,1363,1048,1153
01/01/2018,918,1153,1363,1063,1155.333333
01/02/2018,938,1198,1423,1098,1173.666667
01/03/2018,938,1198,1413,1138,1108
01/04/2018,928,1188,1353,1153,1074
01/05/2018,918,1188,1328,1208,1074
01/06/2018,933,1268,1373,1398,1153.666667
01/07/2018,923,1258,1348,1378,1163.555556
01/08/2018,898,1258,1358,1353,1144.666667
01/09/2018,888,1258,1403,1398,1128
01/10/2018,888,1258,1348,1378,1115.222222
01/11/2018,858,1238,1268,1208,1102.444444
01/12/2018,858,1198,1148,1148,1051.333333
01/01/2019,848,1178,1178,1108,1034.666667
01/02/2019,838,1168,1218,1128,1011.333333
01/03/2019,848,1198,1338,1113,1073.555556
01/04/2019,838,1198,1298,1103,1101.333333
01/05/2019,858,1218,1273,1068,1125.777778
01/06/2019,818,1098,1108,988,1034.666667
01/07/2019,778,1058,1048,948,995.7777778
01/08/2019,773,1058,1078,948,985.7777778
01/09/2019,783,1028,1138,908,950.7777778
01/10/2019,783,998,1098,888,949.1111111
01/11/2019,758,958,1038,838,907.4444444
01/12/2019,758,958,1048,838,905.7777778
01/01/2020,788,978,1098,898,920.7777778
01/02/2020,788,988,1138,878,935.7777778
01/03/2020,688,948,978,798,843.5555556
01/04/2020,658,858,888,763,842.4444444
01/05/2020,618,798,848,718,783
01/06/2020,658,818,923,743,817.4444444
01/07/2020,708,868,948,743,902.4444444
01/08/2020,728,888,963,713,880.7777778
01/09/2020,808,878,978,698,873.5555556
02/10/2020,858,878,978,728,859.1111111
03/11/2020,898,928,1068,713,926.8888889
04/12/2020,948,1048,1248,738,1071.333333
05/01/2021,978,1188,1298,858,1201.888889
01/02/2021,1093,1438,1598,998,1505.777778
01/03/2021,1288,1918,1958,1278,1851.888889
01/04/2021,1438,1958,2148,1368,1988
01/05/2021,1428,1888,2198,1338,1938
01/06/2021,1498,1678,1848,1223,1720.777778
01/07/2021,1498,1648,1678,1148,1614.666667
01/08/2021,1568,1618,1648,1128,1607.444444
01/09/2021,1598,1578,1583,1168,1555.777778
01/10/2021,1668,1598,1648,1328,1580.777778
01/11/2021,1798,1708,1893,1578,1683.555556
01/12/2021,1798,1648,1893,1608,1596.333333
01/01/2022,1718,1668,2028,1573,1618
01/02/2022,1688,1683,1998,1508,1610.222222
01/03/2022,1798,1823,2268,1618,1812.444444
01/04/2022,2003,2048,2498,1728,2061.888889
01/05/2022,1973,1898,2398,1653,1853.555556
01/06/2022,1898,1598,2298,1688,1698.555556
01/07/2022,1763,1423,2448,1728,1491.888889
01/08/2022,1688,1398,1973,1618,1409.666667
01/09/2022,1568,1243,1748,1448,1370.222222
01/10/2022,1568,1283,1748,1398,1386.333333
01/11/2022,1168,1248,1768,1348,1342.444444
01/12/2022,1168,1178,1648,1278,1293
01/01/2023,1198,1128,1698,1198,1182.444444
